id,source,tier,name,wikiTitle,wikiUrl,description,prereqs,iconItemId,iconKey
collection_log_easy_get-bolt-racks-from-barrows_032e40c930,COLLECTION_LOG,EASY,Get bolt racks from Barrows,Bolt rack,https://oldschool.runescape.wiki/w/Bolt_rack,,None,,
collection_log_easy_get-a-mole-claw-skin_b6cf21e254,COLLECTION_LOG,EASY,Get a Mole claw + skin,Mole claw,https://oldschool.runescape.wiki/w/Mole_claw,,None,,
collection_log_easy_get-1-unique-from-wintertodt_9950cd2c05,COLLECTION_LOG,EASY,Get 1 Unique from Wintertodt,Drops,https://oldschool.runescape.wiki/w/Drops,,None,,
collection_log_easy_get-1-unique-from-wintertodt_9950cd2c05,COLLECTION_LOG,EASY,Get 1 Unique from Wintertodt,Drops,https://oldschool.runescape.wiki/w/Drops,,None,,
collection_log_easy_get-1-unique-from-wintertodt_9950cd2c05,COLLECTION_LOG,EASY,Get 1 Unique from Wintertodt,Drops,https://oldschool.runescape.wiki/w/Drops,,None,,
collection_log_easy_get-1-unique-from-wintertodt_9950cd2c05,COLLECTION_LOG,EASY,Get 1 Unique from Wintertodt,Drops,https://oldschool.runescape.wiki/w/Drops,,None,,
collection_log_easy_get-1-unique-from-wintertodt_9950cd2c05,COLLECTION_LOG,EASY,Get 1 Unique from Wintertodt,Drops,https://oldschool.runescape.wiki/w/Drops,,None,,
collection_log_easy_get-3-new-uniques-from-beginner-clues_371a19e7a2,COLLECTION_LOG,EASY,Get 3 new uniques from beginner clues,Nex,https://oldschool.runescape.wiki/w/Nex,,None,,
collection_log_easy_get-3-new-uniques-from-beginner-clues_371a19e7a2,COLLECTION_LOG,EASY,Get 3 new uniques from beginner clues,Nex,https://oldschool.runescape.wiki/w/Nex,,None,,
collection_log_easy_get-5-new-uniques-from-easy-clues_84f5ad7184,COLLECTION_LOG,EASY,Get 5 new uniques from easy clues,Nex,https://oldschool.runescape.wiki/w/Nex,,None,,
collection_log_easy_get-5-new-uniques-from-easy-clues_84f5ad7184,COLLECTION_LOG,EASY,Get 5 new uniques from easy clues,Nex,https://oldschool.runescape.wiki/w/Nex,,None,,
